Termin;Verband;Saison;Meisterschaft;Altersklasse;Liga;Staffel;Runde;BegegnungNr;Halle;HeimVereinVerband;HeimVereinNummer;HeimVereinName;HeimMannschaftName;HeimMannschaftAltersklasse;HeimMannschaftNummer;GastVereinVerband;GastVereinNummer;GastVereinName;GastMannschaftName;GastMannschaftAltersklasse;GastMannschaftNummer;SpieleHeim;SpieleGast
08.10.2022 15:00;BWBV;2022/23;Mannschaftsmeisterschaft 2022/2023 - Bezirk S�dbaden;Aktive;Bezirksliga;Bezirksliga  Schwarzwald / Bodensee  (9-12);VR;1;;BWBV;0370;BC Winzeln 1;BC Winzeln 2;Aktive;2;BWBV;0129;BV Rottweil;SG Rottweil/Schwenningen 2;Aktive;2;0;0
08.10.2022 15:00;BWBV;2022/23;Mannschaftsmeisterschaft 2022/2023 - Bezirk S�dbaden;Aktive;Landesliga;Landesliga  Schwarzwald / Bodensee  (9-12);VR;1;;BWBV;0370;BC Winzeln 1;BC Winzeln 1;Aktive;1;BWBV;0451;TG Seitingen-Oberflacht;TG Seitingen-Oberflacht;Aktive;1;0;0
22.10.2022 15:00;BWBV;2022/23;Mannschaftsmeisterschaft 2022/2023 - Bezirk S�dbaden;Aktive;Bezirksliga;Bezirksliga  Schwarzwald / Bodensee  (9-12);VR;5;;BWBV;0370;BC Winzeln 1;BC Winzeln 2;Aktive;2;BWBV;0108;TV Zizenhausen;TV Zizenhausen 4;Aktive;4;0;0
22.10.2022 15:00;BWBV;2022/23;Mannschaftsmeisterschaft 2022/2023 - Bezirk S�dbaden;Aktive;Landesliga;Landesliga  Schwarzwald / Bodensee  (9-12);VR;5;;BWBV;0370;BC Winzeln 1;BC Winzeln 1;Aktive;1;BWBV;0383;TSV Wellendingen;TSV Wellendingen;Aktive;1;0;0
22.10.2022 19:00;BWBV;2022/23;Mannschaftsmeisterschaft 2022/2023 - Bezirk S�dbaden;Aktive;Bezirksliga;Bezirksliga  Schwarzwald / Bodensee  (9-12);VR;9;;BWBV;0370;BC Winzeln 1;BC Winzeln 2;Aktive;2;BWBV;0041;BC Villingen;BC Villingen 2;Aktive;2;0;0
22.10.2022 19:00;BWBV;2022/23;Mannschaftsmeisterschaft 2022/2023 - Bezirk S�dbaden;Aktive;Landesliga;Landesliga  Schwarzwald / Bodensee  (9-12);VR;9;;BWBV;0370;BC Winzeln 1;BC Winzeln 1;Aktive;1;BWBV;0041;BC Villingen;BC Villingen;Aktive;1;0;0
19.11.2022 15:00;BWBV;2022/23;Mannschaftsmeisterschaft 2022/2023 - Bezirk S�dbaden;Aktive;Bezirksliga;Bezirksliga  Schwarzwald / Bodensee  (9-12);VR;13;;BWBV;0383;TSV Wellendingen;TSV Wellendingen 2;Aktive;2;BWBV;0370;BC Winzeln 1;BC Winzeln 2;Aktive;2;0;0
19.11.2022 15:00;BWBV;2022/23;Mannschaftsmeisterschaft 2022/2023 - Bezirk S�dbaden;Aktive;Landesliga;Landesliga  Schwarzwald / Bodensee  (9-12);VR;13;;BWBV;0060;PTSV Konstanz;PTSV Konstanz 3;Aktive;3;BWBV;0370;BC Winzeln 1;BC Winzeln 1;Aktive;1;0;0
19.11.2022 19:00;BWBV;2022/23;Mannschaftsmeisterschaft 2022/2023 - Bezirk S�dbaden;Aktive;Bezirksliga;Bezirksliga  Schwarzwald / Bodensee  (9-12);VR;18;Goldbühlhalle Gottmadingen;BWBV;0373;TuS Gottmadingen;SG Gottmadingen-Singen-Schlatt;Aktive;1;BWBV;0370;BC Winzeln 1;BC Winzeln 2;Aktive;2;0;0
19.11.2022 19:00;BWBV;2022/23;Mannschaftsmeisterschaft 2022/2023 - Bezirk S�dbaden;Aktive;Landesliga;Landesliga  Schwarzwald / Bodensee  (9-12);VR;18;;BWBV;0060;PTSV Konstanz;PTSV Konstanz 4;Aktive;4;BWBV;0370;BC Winzeln 1;BC Winzeln 1;Aktive;1;0;0
